year,gold,silver,bronze,total,nation
1924,4,7,6,17,Norway
1924,4,4,3,11,Finland
1924,2,1,0,3,Austria
1924,2,0,1,3,Switzerland
1924,1,2,1,4,United States
1924,1,1,2,4,Great Britain
1924,1,1,0,2,Sweden
1924,1,0,0,1,Canada
1924,1,0,0,1,Mixed team
1924,0,0,3,3,France
1924,0,0,1,1,Belgium
1928,6,4,5,15,Norway
1928,2,2,2,6,United States
1928,2,2,1,5,Sweden
1928,2,1,1,4,Finland
1928,1,0,0,1,Canada
1928,1,0,0,1,France
1928,0,3,1,4,Austria
1928,0,0,1,1,Belgium
1928,0,0,1,1,Czechoslovakia
1928,0,0,1,1,Germany
1928,0,0,1,1,Great Britain
1928,0,0,1,1,Switzerland
1932,6,4,2,12,United States
1932,3,4,3,10,Norway
1932,1,2,0,3,Sweden
1932,1,1,5,7,Canada
1932,1,1,1,3,Finland
1932,1,1,0,2,Austria
1932,1,0,0,1,France
1932,0,1,0,1,Switzerland
1932,0,0,2,2,Germany
1932,0,0,1,1,Hungary
1936,7,5,3,15,Norway
1936,3,3,0,6,Germany
1936,2,2,3,7,Sweden
1936,1,2,3,6,Finland
1936,1,2,0,3,Switzerland
1936,1,1,2,4,Austria
1936,1,1,1,3,Great Britain
1936,1,0,3,4,United States
1936,0,1,0,1,Canada
1936,0,0,1,1,France
1936,0,0,1,1,Hungary
1948,4,3,3,10,Norway
1948,4,3,3,10,Sweden
1948,3,4,3,10,Switzerland
1948,3,4,2,9,United States
1948,2,1,2,5,France
1948,2,0,1,3,Canada
1948,1,3,4,8,Austria
1948,1,3,2,6,Finland
1948,1,1,0,2,Belgium
1948,1,0,0,1,Italy
1948,0,1,0,1,Czechoslovakia
1948,0,1,0,1,Hungary
1948,0,0,2,2,Great Britain
1952,7,3,6,16,Norway
1952,4,6,1,11,United States
1952,3,4,2,9,Finland
1952,3,2,2,7,Germany
1952,2,4,2,8,Austria
1952,1,0,1,2,Canada
1952,1,0,1,2,Italy
1952,1,0,0,1,Great Britain
1952,0,3,0,3,Netherlands
1952,0,0,4,4,Sweden
1952,0,0,2,2,Switzerland
1952,0,0,1,1,France
1952,0,0,1,1,Hungary
1956,7,3,6,16,Soviet Union
1956,4,3,4,11,Austria
1956,3,3,1,7,Finland
1956,3,2,1,6,Switzerland
1956,2,4,4,10,Sweden
1956,2,3,2,7,United States
1956,2,1,1,4,Norway
1956,1,2,0,3,Italy
1956,1,0,1,2,United Team of Germany
1956,0,1,2,3,Canada
1956,0,1,0,1,Japan
1956,0,0,1,1,Hungary
1956,0,0,1,1,Poland
1960,7,5,9,21,Soviet Union
1960,4,3,1,8,United Team of Germany
1960,3,4,3,10,United States
1960,3,3,0,6,Norway
1960,3,2,2,7,Sweden
1960,2,3,3,8,Finland
1960,2,1,1,4,Canada
1960,2,0,0,2,Switzerland
1960,1,2,3,6,Austria
1960,1,0,2,3,France
1960,0,1,1,2,Netherlands
1960,0,1,1,2,Poland
1960,0,1,0,1,Czechoslovakia
1960,0,0,1,1,Italy
1964,11,8,6,25,Soviet Union
1964,4,5,3,12,Austria
1964,3,6,6,15,Norway
1964,3,4,3,10,Finland
1964,3,4,0,7,France
1964,3,3,3,9,United Team of Germany
1964,3,3,1,7,Sweden
1964,1,2,4,7,United States
1964,1,1,1,3,Canada
1964,1,1,0,2,Netherlands
1964,1,0,0,1,Great Britain
1964,0,1,3,4,Italy
1964,0,1,0,1,North Korea
1964,0,0,1,1,Czechoslovakia
1968,6,6,2,14,Norway
1968,5,5,3,13,Soviet Union
1968,4,3,2,9,France
1968,4,0,0,4,Italy
1968,3,4,4,11,Austria
1968,3,3,3,9,Netherlands
1968,3,2,3,8,Sweden
1968,2,2,3,7,West Germany
1968,1,5,1,7,United States
1968,1,2,2,5,East Germany
1968,1,2,2,5,Finland
1968,1,2,1,4,Czechoslovakia
1968,1,1,1,3,Canada
1968,0,2,4,6,Switzerland
1968,0,0,1,1,Romania
1972,8,5,3,16,Soviet Union
1972,4,3,7,14,East Germany
1972,4,3,3,10,Switzerland
1972,4,3,2,9,Netherlands
1972,3,2,3,8,United States
1972,3,1,1,5,West Germany
1972,2,5,5,12,Norway
1972,2,2,1,5,Italy
1972,1,2,2,5,Austria
1972,1,1,2,4,Sweden
1972,1,1,1,3,Japan
1972,1,0,2,3,Czechoslovakia
1972,1,0,0,1,Poland
1972,1,0,0,1,Spain
1972,0,4,1,5,Finland
1972,0,1,2,3,France
1972,0,1,0,1,Canada
1976,13,6,8,27,Soviet Union
1976,7,5,7,19,East Germany
